ticker,pdf_file,page,stratum,decision_class,subtype,note,label_source,annotator1_class,annotator2_class,annotator1_subtype,annotator2_subtype
LEG,LEG-LEGGETT & PLATT INC-2021.pdf,21,representative,prose,prose_multicol,Clean flowing 2-col prose on SafeGuard H&S program; reconstruction correct,annotator_agreement,prose,prose,prose_multicol,prose_multicol
HD,HD-HOME DEPOT INC-2021.pdf,129,representative,ambiguous_or_mixed,chart_infographic,2 independent self-contained boxes: political-oversight essay + 'PATH OF THE PAC DOLLAR' numbered process infographic. Each reads correctly top-to-bottom alone; no label-value detachment; no single canonical page order between the two (FIGS-2024-p11-style),annotator_agreement,ambiguous_or_mixed,ambiguous_or_mixed,chart_infographic,chart_infographic
DELL,DELL-DELL TECHNOLOGIES INC-2023.pdf,68,representative,prose,stat_card_grid,Two bulleted prose columns dominate; the FY23 engagement panel places each figure directly above its own caption.,adjudicated,ambiguous_or_mixed,prose,stat_card_grid,prose_multicol
PVH,PVH-PVH CORP-2022.pdf,92,representative,table_dominant,disclosure_index_table,"TCFD disclosure prompts mapped to CDP question codes; reconstruction detaches every prompt from its code, textbook GRI/SASB/TCFD index scrambling",annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
EYE,EYE-NATIONAL VISION HOLDINGS INC-2021.pdf,81,representative,table_dominant,disclosure_index_table,SASB CG-MR topic/code/disclosure/reference table; reconstruction separates all disclosure text from all reference text,annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
FIVE,FIVE-FIVE BELOW INC-2026.pdf,7,representative,table_dominant,disclosure_index_table,SASB TOPIC/METRICS/RESPONSE table; reconstruction detaches metrics from responses,annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
CASY,CASY-CASEYS GENERAL STORES INC-2023.pdf,54,representative,table_dominant,data_table_ruled,"SDG topic x {Description/Contribution/Report Section} ruled table; reconstruction concatenates same-row content across all 5 SDG columns, detaching row labels from per-column values",annotator_agreement,table_dominant,table_dominant,data_table_ruled,disclosure_index_table
TDUP,TDUP-THREDUP INC-2021.pdf,2,representative,prose,prose_multicol,"CEO letter narrative dominates; small numbered TOC sidebar (00-06) interspersed but doesn't detach any label-value pairs, core narrative reads coherently",annotator_agreement,prose,prose,prose_multicol,prose_multicol
WHR,WHR-WHIRLPOOL CORP-2023.pdf,89,representative,table_dominant,disclosure_index_table,"GRI INDEX ruled table: Disclosure Number / Disclosure Name / Whirlpool Response, section header rows",annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
WSM,WSM-WILLIAMS-SONOMA INC-2022.pdf,46,representative,table_dominant,disclosure_index_table,"SDG index table: SDG icon/GOAL/TARGET/NO./WSI INITIATIVES/REFERENCE, ruled row separators per SDG entry",annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
MELI,MELI-MERCADOLIBRE-2025.pdf,16,representative,ambiguous_or_mixed,other,"Independent self-contained boxes: 8-card executive-officer bio grid (photo+name+title) + governance prose + 3 committee description callout boxes; each card/box coherent alone, no single canonical order",annotator_agreement,ambiguous_or_mixed,ambiguous_or_mixed,other,other
MUSA,MUSA-MURPHY USA INC-2021.pdf,4,representative,prose,prose_multicol,"Clean 2-col CEO letter, genuine flowing prose, no tables",annotator_agreement,prose,prose,prose_multicol,prose_multicol
TJX,TJX-Tjx Cos Inc-2025.pdf,15,representative,prose,prose_multicol,Clean 2-col prose on leadership development / merchant training programs,annotator_agreement,prose,prose,prose_multicol,prose_multicol
CAL,CAL-CALERES INC-2023.pdf,51,representative,table_dominant,disclosure_index_table,TCFD Metrics/Company Response ruled table mapping risk-mgmt and metrics/targets prompts to CDP disclosure citations,annotator_agreement,table_dominant,table_dominant,disclosure_index_table,disclosure_index_table
AEO,AEO-AMERICAN EAGLE OUTFITTERS INC-2022.pdf,57,representative,prose,prose_multicol,"2 large cols genuine prose (safety culture, vulnerable worker protections) dominate; small 4-col chronological timeline strip at bottom is self-contained per-year, no label-value detachment",annotator_agreement,prose,prose,prose_multicol,prose_multicol
M,M-MACY'S INC-2025.pdf,45,representative,prose,prose_multicol,"Clean 3-col prose on chemicals management, PFAS, conflict minerals",annotator_agreement,prose,prose,prose_multicol,prose_multicol
VRA,VRA-VERA BRADLEY INC-2024.pdf,9,representative,table_dominant,disclosure_index_table,SASB Appendix table: metric/unit/response/code cells with visible cell borders,annotator_agreement,table_dominant,table_dominant,disclosure_index_table,data_table_ruled
