model_id,question_id,rank,chunk_id,score
semantic20_lexical20_rrf_pool20,10K-V2-I1-001,1,238865,0.3966173231601715
semantic20_lexical20_rrf_pool20,10K-V2-I1-001,2,238871,0.18242144584655762
semantic20_lexical20_rrf_pool20,10K-V2-I1-001,3,238866,-0.712171733379364
semantic20_lexical20_rrf_pool20,10K-V2-I1-001,4,238872,-0.7237442135810852
semantic20_lexical20_rrf_pool20,10K-V2-I1-001,5,238868,-1.4159590005874634
semantic20_lexical20_rrf_pool20,10K-V2-I1-002,1,293893,3.9941415786743164
semantic20_lexical20_rrf_pool20,10K-V2-I1-002,2,293896,2.7659456729888916
semantic20_lexical20_rrf_pool20,10K-V2-I1-002,3,293891,0.057861700654029846
semantic20_lexical20_rrf_pool20,10K-V2-I1-002,4,293890,-1.7413558959960938
semantic20_lexical20_rrf_pool20,10K-V2-I1-002,5,293899,-1.9779036045074463
semantic20_lexical20_rrf_pool20,10K-V2-I1-003,1,244048,3.875922203063965
semantic20_lexical20_rrf_pool20,10K-V2-I1-003,2,244052,3.2257351875305176
semantic20_lexical20_rrf_pool20,10K-V2-I1-003,3,244059,1.6489901542663574
semantic20_lexical20_rrf_pool20,10K-V2-I1-003,4,244049,1.1814954280853271
semantic20_lexical20_rrf_pool20,10K-V2-I1-003,5,244054,0.048376183956861496
semantic20_lexical20_rrf_pool20,10K-V2-I1-004,1,314145,3.80668568611145
semantic20_lexical20_rrf_pool20,10K-V2-I1-004,2,314146,-2.332684278488159
semantic20_lexical20_rrf_pool20,10K-V2-I1-004,3,314150,-4.042809009552002
semantic20_lexical20_rrf_pool20,10K-V2-I1-004,4,314149,-5.361433982849121
semantic20_lexical20_rrf_pool20,10K-V2-I1-004,5,314151,-6.037521839141846
semantic20_lexical20_rrf_pool20,10K-V2-I1A-001,1,246160,-0.5305700302124023
semantic20_lexical20_rrf_pool20,10K-V2-I1A-001,2,246186,-1.2817833423614502
semantic20_lexical20_rrf_pool20,10K-V2-I1A-001,3,246212,-2.762208938598633
semantic20_lexical20_rrf_pool20,10K-V2-I1A-001,4,246219,-2.897493839263916
semantic20_lexical20_rrf_pool20,10K-V2-I1A-001,5,246227,-3.306033134460449
semantic20_lexical20_rrf_pool20,10K-V2-I1A-002,1,271318,-0.8788379430770874
semantic20_lexical20_rrf_pool20,10K-V2-I1A-002,2,271324,-1.899464726448059
semantic20_lexical20_rrf_pool20,10K-V2-I1A-002,3,271327,-2.1708734035491943
semantic20_lexical20_rrf_pool20,10K-V2-I1A-002,4,271326,-4.128803730010986
semantic20_lexical20_rrf_pool20,10K-V2-I1A-002,5,271333,-4.376282215118408
semantic20_lexical20_rrf_pool20,10K-V2-I1A-003,1,313356,1.5663485527038574
semantic20_lexical20_rrf_pool20,10K-V2-I1A-003,2,313344,0.8442802429199219
semantic20_lexical20_rrf_pool20,10K-V2-I1A-003,3,313355,-0.6785183548927307
semantic20_lexical20_rrf_pool20,10K-V2-I1A-003,4,313354,-0.9564262628555298
semantic20_lexical20_rrf_pool20,10K-V2-I1A-003,5,313343,-1.0366945266723633
semantic20_lexical20_rrf_pool20,10K-V2-I1A-004,1,255426,2.919215202331543
semantic20_lexical20_rrf_pool20,10K-V2-I1A-004,2,255423,2.407350778579712
semantic20_lexical20_rrf_pool20,10K-V2-I1A-004,3,255421,1.649924635887146
semantic20_lexical20_rrf_pool20,10K-V2-I1A-004,4,255415,1.645632028579712
semantic20_lexical20_rrf_pool20,10K-V2-I1A-004,5,255434,1.2489781379699707
semantic20_lexical20_rrf_pool20,10K-V2-I7-001,1,256271,0.9251800775527954
semantic20_lexical20_rrf_pool20,10K-V2-I7-001,2,256266,-0.5845149159431458
semantic20_lexical20_rrf_pool20,10K-V2-I7-001,3,256265,-1.0604597330093384
semantic20_lexical20_rrf_pool20,10K-V2-I7-001,4,256278,-1.69930899143219
semantic20_lexical20_rrf_pool20,10K-V2-I7-001,5,256282,-1.7948449850082397
semantic20_lexical20_rrf_pool20,10K-V2-I7-002,1,323318,1.6171952486038208
semantic20_lexical20_rrf_pool20,10K-V2-I7-002,2,323324,-1.9797015190124512
semantic20_lexical20_rrf_pool20,10K-V2-I7-002,3,323320,-2.4490792751312256
semantic20_lexical20_rrf_pool20,10K-V2-I7-002,4,323337,-3.160127639770508
semantic20_lexical20_rrf_pool20,10K-V2-I7-002,5,323316,-3.398200035095215
semantic20_lexical20_rrf_pool20,10K-V2-I7-003,1,302855,-2.2681500911712646
semantic20_lexical20_rrf_pool20,10K-V2-I7-003,2,302873,-2.9059090614318848
semantic20_lexical20_rrf_pool20,10K-V2-I7-003,3,302874,-3.976391315460205
semantic20_lexical20_rrf_pool20,10K-V2-I7-003,4,302853,-4.795847415924072
semantic20_lexical20_rrf_pool20,10K-V2-I7-003,5,302869,-5.425568103790283
semantic20_lexical20_rrf_pool20,10K-V2-I7-004,1,340534,-3.0979647636413574
semantic20_lexical20_rrf_pool20,10K-V2-I7-004,2,340536,-3.779613733291626
semantic20_lexical20_rrf_pool20,10K-V2-I7-004,3,340529,-4.175324440002441
semantic20_lexical20_rrf_pool20,10K-V2-I7-004,4,340535,-4.663224220275879
semantic20_lexical20_rrf_pool20,10K-V2-I7-004,5,340530,-5.350386619567871
semantic20_lexical20_rrf_pool20,10K-V2-I8-001,1,281164,0.6582381129264832
semantic20_lexical20_rrf_pool20,10K-V2-I8-001,2,281170,0.11021438986063004
semantic20_lexical20_rrf_pool20,10K-V2-I8-001,3,281171,-2.1581871509552
semantic20_lexical20_rrf_pool20,10K-V2-I8-001,4,281163,-2.8233349323272705
semantic20_lexical20_rrf_pool20,10K-V2-I8-001,5,281167,-2.8253607749938965
semantic20_lexical20_rrf_pool20,10K-V2-I8-002,1,293640,-0.8651126623153687
semantic20_lexical20_rrf_pool20,10K-V2-I8-002,2,293655,-1.097728967666626
semantic20_lexical20_rrf_pool20,10K-V2-I8-002,3,293641,-2.233677387237549
semantic20_lexical20_rrf_pool20,10K-V2-I8-002,4,293644,-2.2362897396087646
semantic20_lexical20_rrf_pool20,10K-V2-I8-002,5,293684,-2.65659236907959
semantic20_lexical20_rrf_pool20,10K-V2-I8-003,1,233516,1.469846248626709
semantic20_lexical20_rrf_pool20,10K-V2-I8-003,2,233527,0.6116570234298706
semantic20_lexical20_rrf_pool20,10K-V2-I8-003,3,233515,-0.5559403896331787
semantic20_lexical20_rrf_pool20,10K-V2-I8-003,4,233602,-1.9941989183425903
semantic20_lexical20_rrf_pool20,10K-V2-I8-003,5,233513,-2.830925464630127
semantic20_lexical20_rrf_pool20,10K-V2-I8-004,1,290535,0.9077140688896179
semantic20_lexical20_rrf_pool20,10K-V2-I8-004,2,290530,-2.5534424781799316
semantic20_lexical20_rrf_pool20,10K-V2-I8-004,3,290502,-2.6905815601348877
semantic20_lexical20_rrf_pool20,10K-V2-I8-004,4,290500,-2.925506591796875
semantic20_lexical20_rrf_pool20,10K-V2-I8-004,5,290492,-2.9725468158721924
semantic20_lexical20_rrf_pool20,10K-V2-XC-001,1,264515,-1.2146637439727783
semantic20_lexical20_rrf_pool20,10K-V2-XC-001,2,286848,-1.0086134672164917
semantic20_lexical20_rrf_pool20,10K-V2-XC-001,3,264516,-2.4577953815460205
semantic20_lexical20_rrf_pool20,10K-V2-XC-001,4,286847,-2.6637537479400635
semantic20_lexical20_rrf_pool20,10K-V2-XC-001,5,264514,-3.0453057289123535
semantic20_lexical20_rrf_pool20,10K-V2-XC-002,1,291507,-1.952242136001587
semantic20_lexical20_rrf_pool20,10K-V2-XC-002,2,326182,-4.146587371826172
semantic20_lexical20_rrf_pool20,10K-V2-XC-002,3,291502,-4.189550876617432
semantic20_lexical20_rrf_pool20,10K-V2-XC-002,4,326178,-4.189937591552734
semantic20_lexical20_rrf_pool20,10K-V2-XC-002,5,291517,-4.438939571380615
semantic20_lexical20_rrf_pool20,10K-V2-XC-003,1,313088,-6.406546592712402
