ticker,pdf_file,page,stratum,decision_class,subtype,note
LEG,LEG-LEGGETT & PLATT INC-2021.pdf,21,representative,prose,prose_multicol,"Clean flowing 2-col prose on SafeGuard H&S program; reconstruction correct"
HD,HD-HOME DEPOT INC-2021.pdf,129,representative,ambiguous_or_mixed,chart_infographic,"2 independent self-contained boxes: political-oversight essay + 'PATH OF THE PAC DOLLAR' numbered process infographic. Each reads correctly top-to-bottom alone; no label-value detachment; no single canonical page order between the two (FIGS-2024-p11-style)"
DELL,DELL-DELL TECHNOLOGIES INC-2023.pdf,68,representative,ambiguous_or_mixed,stat_card_grid,"2 cols genuine bulleted prose + 1 col (~1/3 page) FY23 stat-card grid. Stat labels get detached from values in current reconstruction but prose majority means table doesn't dominate the page"
PVH,PVH-PVH CORP-2022.pdf,92,representative,table_dominant,disclosure_index_table,"TCFD disclosure prompts mapped to CDP question codes; reconstruction detaches every prompt from its code, textbook GRI/SASB/TCFD index scrambling"
EYE,EYE-NATIONAL VISION HOLDINGS INC-2021.pdf,81,representative,table_dominant,disclosure_index_table,"SASB CG-MR topic/code/disclosure/reference table; reconstruction separates all disclosure text from all reference text"
FIVE,FIVE-FIVE BELOW INC-2026.pdf,7,representative,table_dominant,disclosure_index_table,"SASB TOPIC/METRICS/RESPONSE table; reconstruction detaches metrics from responses"
CASY,CASY-CASEYS GENERAL STORES INC-2023.pdf,54,representative,table_dominant,data_table_ruled,"SDG topic x {Description/Contribution/Report Section} ruled table; reconstruction concatenates same-row content across all 5 SDG columns, detaching row labels from per-column values"
TDUP,TDUP-THREDUP INC-2021.pdf,2,representative,prose,prose_multicol,"CEO letter narrative dominates; small numbered TOC sidebar (00-06) interspersed but doesn't detach any label-value pairs, core narrative reads coherently"
WHR,WHR-WHIRLPOOL CORP-2023.pdf,89,representative,table_dominant,disclosure_index_table,"GRI INDEX ruled table: Disclosure Number / Disclosure Name / Whirlpool Response, section header rows"
WSM,WSM-WILLIAMS-SONOMA INC-2022.pdf,46,representative,table_dominant,disclosure_index_table,"SDG index table: SDG icon/GOAL/TARGET/NO./WSI INITIATIVES/REFERENCE, ruled row separators per SDG entry"
MELI,MELI-MERCADOLIBRE-2025.pdf,16,representative,ambiguous_or_mixed,other,"Independent self-contained boxes: 8-card executive-officer bio grid (photo+name+title) + governance prose + 3 committee description callout boxes; each card/box coherent alone, no single canonical order"
MUSA,MUSA-MURPHY USA INC-2021.pdf,4,representative,prose,prose_multicol,"Clean 2-col CEO letter, genuine flowing prose, no tables"
TJX,TJX-Tjx Cos Inc-2025.pdf,15,representative,prose,prose_multicol,"Clean 2-col prose on leadership development / merchant training programs"
CAL,CAL-CALERES INC-2023.pdf,51,representative,table_dominant,disclosure_index_table,"TCFD Metrics/Company Response ruled table mapping risk-mgmt and metrics/targets prompts to CDP disclosure citations"
AEO,AEO-AMERICAN EAGLE OUTFITTERS INC-2022.pdf,57,representative,prose,prose_multicol,"2 large cols genuine prose (safety culture, vulnerable worker protections) dominate; small 4-col chronological timeline strip at bottom is self-contained per-year, no label-value detachment"
M,M-MACY'S INC-2025.pdf,45,representative,prose,prose_multicol,"Clean 3-col prose on chemicals management, PFAS, conflict minerals"
VRA,VRA-VERA BRADLEY INC-2024.pdf,9,representative,table_dominant,disclosure_index_table,"SASB Appendix table: metric/unit/response/code cells with visible cell borders"
WHR,WHR-WHIRLPOOL CORP-2021.pdf,96,representative,prose,prose_multicol,"3-col prose on supplier criteria and conflict minerals; pull-quote box is an excerpt of body text, not a table"
KR,KR-KROGER CO-2022.pdf,57,representative,ambiguous_or_mixed,data_table_ruled,"Left: genuine prose (workshop bullets). Right: substantial ruled table (Salient Human Rights Risk/Policies/Additional Resources, 6 rows) plus photo. Table is real and would detach risk-to-policy mapping if scrambled, but prose column is also substantial"
