report_label,ticker,year,heading,canonical_section_code,calibration_decision,notes,source_review_flag,source_line
AEO 2021,AEO,2021,ABOUT THIS REPORT,about_this_report,use_for_splitter,matched calibrated ESG heading pattern,,2
AEO 2021,AEO,2021,CEO WELCOME,ceo_letter,use_for_splitter,matched calibrated ESG heading pattern,,3
AEO 2021,AEO,2021,BUILDING A BETTER WORLD HIGHLIGHTS,,skip_generic_subheader,generic repeated subheader; keep inside parent ESG section,,4
AEO 2021,AEO,2021,OUR JOURNEY,about_this_report,use_for_splitter,matched calibrated ESG heading pattern,,5
AEO 2021,AEO,2021,"About AEO, Inc. and Our Brands",about_this_report,use_for_splitter,matched calibrated ESG heading pattern,,6
AEO 2021,AEO,2021,American Eagle,,skip_brand_or_story_title,brand/story title does not identify a reusable ESG topic,,8
AEO 2021,AEO,2021,Aerie,,skip_brand_or_story_title,brand/story title does not identify a reusable ESG topic,,9
AEO 2021,AEO,2021,Unsubscribed,,skip_brand_or_story_title,brand/story title does not identify a reusable ESG topic,,10
AEO 2021,AEO,2021,ESG Oversight and Collaboration Setting Best Practices,governance,use_for_splitter,matched calibrated ESG heading pattern,,11
AEO 2021,AEO,2021,Material ESG Topics,about_this_report,use_for_splitter,matched calibrated ESG heading pattern,,13
AEO 2021,AEO,2021,PLANET,environmental,use_for_splitter,matched calibrated ESG heading pattern,,14
AEO 2021,AEO,2021,A Decade of Water Leadership,water,use_for_splitter,matched calibrated ESG heading pattern,,15
AEO 2021,AEO,2021,Sustainable Materials,environmental,use_for_splitter,matched calibrated ESG heading pattern,,16
AEO 2021,AEO,2021,Real Good. Made with the Planet in Mind,environmental,use_for_splitter,matched calibrated ESG heading pattern,,17
AEO 2021,AEO,2021,Climate: Energy and Emissions,emissions,use_for_splitter,matched calibrated ESG heading pattern,,19
AEO 2021,AEO,2021,Circularity and Waste Reduction,waste,use_for_splitter,matched calibrated ESG heading pattern,,20
AEO 2021,AEO,2021,PEOPLE,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,21
AEO 2021,AEO,2021,Building a Better Workplace and Community - Social Goals,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,22
AEO 2021,AEO,2021,Our People and Values Are at the Center of Everything We Do,,manual_review,not matched to canonical ESG code; review before adding pattern,sentence_like_review,24
AEO 2021,AEO,2021,Our Culture is a Competitive Advantage,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,26
AEO 2021,AEO,2021,Our Total Rewards Approach,human_capital,use_for_splitter,matched calibrated ESG heading pattern,,27
