ticker,pdf_file,report_year_from_filename,normalization_date,problem_before,normalization_method,raw_pdf_now_searchable,pipeline_mode_after,source_pdf,original_raw_backup,ocr_build_source,source_size_bytes,source_sha256,parse_source_kind_after,parse_status_after,page_count_after,char_count_after,quality_flags_after,readable_word_ratio_after,garbled_char_count_after,section_count_after,chunk_count_after,missing_citation_chunks_after,qa_status_after,qa_notes_after,drive_action_needed
WMT,WMT-WALMART INC-2024.pdf,2024,2026-07-14,zero extracted text / OCR-required before repair,original-base OCR searchable PDF earlier; normalized raw copy now uses same searchable PDF,yes,normal raw PDF; no --ocr-root required,data/01_raw/sustainability/WMT/WMT-WALMART INC-2024.pdf,backups/ocr_raw_originals_20260714_1115/WMT/WMT-WALMART INC-2024.pdf,data/02_interim/ocr_fixed/WMT/WMT-WALMART INC-2024.pdf,103068798,fd927036ea0a4c4e5da7daceb73ac3d82c4c094a80d11439c56709e59e88d67b,raw,parsed,132,479075,none,0.8285,0,17,216,0,no_tracker_row_for_this_pdf,"Pipeline output exists, but sustainability_report_tracker.csv has no WMT 2024 row.",Replace the Drive PDF with this same-filename searchable PDF if Drive still has the old copy.
ETSY,ETSY-ETSY INC-2024.pdf,2024,2026-07-14,CID-garbled embedded text / fallback risk before repair,image-base OCR searchable PDF,yes,normal raw PDF; no --ocr-root required,data/01_raw/sustainability/ETSY/ETSY-ETSY INC-2024.pdf,backups/ocr_raw_originals_20260714_1115/ETSY/ETSY-ETSY INC-2024.pdf,data/02_interim/ocr_fixed/ETSY/ETSY-ETSY INC-2024.pdf,11289687,1c227df19a173e1ce6b2038738530a6b12cbf1581b18eddd29e2f77366192d2c,raw,parsed,20,78740,none,0.7814,0,14,41,0,complete,,Replace the Drive PDF with this same-filename searchable PDF if Drive still has the old copy.
AAPL,AAPL-APPLE INC-2024.pdf,2024,2026-07-14,CID-garbled text anomaly,image-base OCR searchable PDF,yes,normal raw PDF; no --ocr-root required,data/01_raw/sustainability/AAPL/AAPL-APPLE INC-2024.pdf,backups/ocr_raw_originals_20260714_1115/AAPL/AAPL-APPLE INC-2024.pdf,data/02_interim/ocr_fixed/AAPL/AAPL-APPLE INC-2024.pdf,66120222,21113e2f53e286c048b6bcd784bfd9adaed518a642ab62fdf3f2a05d82c6a128,raw,parsed,126,433421,none,0.8079,0,15,211,0,complete,,Replace the Drive PDF with this same-filename searchable PDF if Drive still has the old copy.
MOV,MOV-MOVADO GROUP INC-2022.pdf,2022,2026-07-14,CID-garbled text anomaly,image-base OCR searchable PDF,yes,normal raw PDF; no --ocr-root required,data/01_raw/sustainability/MOV/MOV-MOVADO GROUP INC-2022.pdf,backups/ocr_raw_originals_20260714_1115/MOV/MOV-MOVADO GROUP INC-2022.pdf,data/02_interim/ocr_fixed/MOV/MOV-MOVADO GROUP INC-2022.pdf,27774745,f97cccb47eef086297e466fa847d7126202d1c9fd0ccef13c7b921761feb6870,raw,parsed,68,126116,none,0.8305,0,12,62,0,complete,,Replace the Drive PDF with this same-filename searchable PDF if Drive still has the old copy.
SBH,SBH-SALLY BEAUTY HOLDINGS INC-2024.pdf,2024,2026-07-14,CID-garbled text anomaly,image-base OCR searchable PDF,yes,normal raw PDF; no --ocr-root required,data/01_raw/sustainability/SBH/SBH-SALLY BEAUTY HOLDINGS INC-2024.pdf,backups/ocr_raw_originals_20260714_1115/SBH/SBH-SALLY BEAUTY HOLDINGS INC-2024.pdf,data/02_interim/ocr_fixed/SBH/SBH-SALLY BEAUTY HOLDINGS INC-2024.pdf,5050337,40ceb0adf1ad095be932c6c19b9ebed3d8b54681933927a9b4920e4e6e0a8f02,raw,parsed,11,35184,none,0.826,0,9,19,0,complete,,Replace the Drive PDF with this same-filename searchable PDF if Drive still has the old copy.
PTRN,PTRN-Pattern Group-2023.pdf,2023,2026-07-14,garbled_text parser flag,image-base OCR searchable PDF,yes,normal raw PDF; no --ocr-root required,data/01_raw/sustainability/PTRN/PTRN-Pattern Group-2023.pdf,backups/ocr_raw_originals_20260714_1115/PTRN/PTRN-Pattern Group-2023.pdf,data/02_interim/ocr_fixed/PTRN/PTRN-Pattern Group-2023.pdf,41768495,d04b6f1f1717085498143461feda4476ba056aa7b64030e25cb4c282731cc847,raw,parsed,140,242895,none,0.7634,0,17,130,0,complete,,Replace the Drive PDF with this same-filename searchable PDF if Drive still has the old copy.
VSXY,VSXY-Victorias Secret-2024.pdf,2024,2026-07-14,garbled_text parser flag,image-base OCR searchable PDF,yes,normal raw PDF; no --ocr-root required,data/01_raw/sustainability/VSXY/VSXY-Victorias Secret-2024.pdf,backups/ocr_raw_originals_20260714_1115/VSXY/VSXY-Victorias Secret-2024.pdf,data/02_interim/ocr_fixed/VSXY/VSXY-Victorias Secret-2024.pdf,20261943,bf93fc06f525fff3d0f15703e074733e55d394579f47868c3d11a065d14d15b5,raw,parsed,45,85446,none,0.8008,0,7,42,0,complete,,Replace the Drive PDF with this same-filename searchable PDF if Drive still has the old copy.
TDUP,TDUP-THREDUP INC-2023.pdf,2023,2026-07-14,previously OCR/searchable remediation for scanned or poor-copy report,pre-existing searchable raw PDF; added to tracking after manifest creation,yes,normal raw PDF; no --ocr-root required,data/01_raw/sustainability/TDUP/TDUP-THREDUP INC-2023.pdf,not_available_pre_manifest,not_available_pre_manifest,6498505,277b1d1701d1e42344da80d064cdd4d901d10587feb5af9e64a4b703d011cbe0,raw,parsed,48,36702,none,0.8052,0,10,20,0,complete,,Confirm Drive contains this same-filename searchable PDF; no local OCR sidecar is required.
TDUP,TDUP-THREDUP INC-2024.pdf,2024,2026-07-14,previously OCR/searchable remediation for scanned or poor-copy report,pre-existing searchable raw PDF; added to tracking after manifest creation,yes,normal raw PDF; no --ocr-root required,data/01_raw/sustainability/TDUP/TDUP-THREDUP INC-2024.pdf,not_available_pre_manifest,not_available_pre_manifest,13309190,ac85cc90d47471a4a394fa30b99915e25360bfe2e9d74184bc215770c16a2b7f,raw,parsed,44,33506,none,0.8258,0,8,17,0,complete,,Confirm Drive contains this same-filename searchable PDF; no local OCR sidecar is required.
NGVC,NGVC-NATURAL GROCERS VITAMIN CTGE-2021.pdf,2021,2026-07-15,low text per page / image-like PDF before repair,image-base OCR searchable PDF,"no; official raw restored, OCR derivative used for parsing",official raw source plus OCR staging derivative via --ocr-root,data/01_raw/sustainability/NGVC/NGVC-NATURAL GROCERS VITAMIN CTGE-2021.pdf,backups/ocr_raw_originals_20260715_070401/data/01_raw/sustainability/NGVC/NGVC-NATURAL GROCERS VITAMIN CTGE-2021.pdf,data/02_interim/ocr_staging/NGVC/NGVC-NATURAL GROCERS VITAMIN CTGE-2021.pdf,21478736,3a3666bc89faba4a47fdd2fe115c2f909a8d6493530ac62ed1338c86fd4ebbf2,ocr,parsed,33,67886,none,0.8279,0,27,43,0,complete,,No Drive modification. Keep official raw PDF as source_pdf and parse data/02_interim/ocr_staging/NGVC/NGVC-NATURAL GROCERS VITAMIN CTGE-2021.pdf as OCR derivative.
