source_candidate_id,ticker,company_id,company_name,coverage_reason_code,source_type,source_scope,retrieval_tier,include_in_pdf_esg_index,include_in_supplemental_index,source_url,source_title,source_format,accessed_date,verification_status,review_status,recommended_action,notes
BARK__BARK_Corporate_Governance_Committee_Charter_2024__2026_07_15_public_pdf,BARK,98,BARK INC,supplemental_public_pdf_candidate_not_standalone,governance_charter_with_esg_oversight,supplemental,supplemental_pdf,false,candidate_after_manual_review,https://s27.q4cdn.com/974260903/files/doc_governance/2025/Jun/03/BARK-Charter-Corporate-Governance-Committee-May-2024-e403e1.pdf,Corporate Governance Committee Charter,pdf,2026-07-15,already_present_pdf; sha256=c24725be5986720b12d00c550f9e687fc66380c0f9a406a468e41daa0d089a3f; bytes=359044,manual_review_before_ingestion,Keep out of the stand-alone PDF ESG corpus; review only for supplemental retrieval if the team approves non-report evidence.,Public candidate stored under tmp/incoming; treatment=supplemental_candidate; filename=BARK-Corporate-Governance-Committee-Charter-2024.pdf.
BNED__BNED_2025_Proxy_ESG_Section__2026_07_15_public_pdf,BNED,100,BARNES & NOBLE EDUCATION INC,supplemental_public_pdf_candidate_not_standalone,proxy_with_esg_section,supplemental,supplemental_pdf,false,candidate_after_manual_review,https://materials.proxyvote.com/Approved/06777U/20260202/NPS_624126.PDF,2025 Proxy Statement with Corporate Responsibility and ESG section,pdf,2026-07-15,already_present_pdf; sha256=485c1e91554db20f7270e55adef5dde0d4166f93c21aa419f02528e760f5796c; bytes=270028,manual_review_before_ingestion,Keep out of the stand-alone PDF ESG corpus; review only for supplemental retrieval if the team approves non-report evidence.,Public candidate stored under tmp/incoming; treatment=supplemental_candidate; filename=BNED-2025-Proxy-ESG-Section.pdf.
BNED__BNED_Corporate_Governance_and_Nominating_Committee_Charter_2024__2026_07_15_public_pdf,BNED,100,BARNES & NOBLE EDUCATION INC,supplemental_public_pdf_candidate_not_standalone,governance_charter_with_esg_oversight,supplemental,supplemental_pdf,false,candidate_after_manual_review,https://s23.q4cdn.com/183868809/files/doc_governance/2024/Sep/bned-cgn-committee-charter-9-18-24.pdf,Corporate Governance and Nominating Committee Charter,pdf,2026-07-15,already_present_pdf; sha256=79e8159aceae38d63c42fe3ccebc7813106af4ca5b2dde5f99b58fef90db8e28; bytes=221926,manual_review_before_ingestion,Keep out of the stand-alone PDF ESG corpus; review only for supplemental retrieval if the team approves non-report evidence.,Public candidate stored under tmp/incoming; treatment=supplemental_candidate; filename=BNED-Corporate-Governance-and-Nominating-Committee-Charter-2024.pdf.
BOBS__BOBS_2025_DRS_ESG_Framework_Risk_Disclosure__2026_07_15_public_pdf,BOBS,135,BOBS DISCOUNT FURNITURE INC,supplemental_public_pdf_candidate_not_standalone,registration_filing_with_esg_framework_disclosure,not_full_esg_report,supplemental_pdf,false,candidate_after_manual_review,https://ir.mybobs.com/sec-filings/all-sec-filings/content/0001628280-25-055692/0001628280-25-055692.pdf,DRS/A filing with ESG framework risk disclosure,pdf,2026-07-15,already_present_pdf; sha256=be6b880910cdb75070e7ab1c747984293079770974f9655a99de7f473e9c9861; bytes=59302433,manual_review_before_ingestion,Keep out of the stand-alone PDF ESG corpus; review only for supplemental retrieval if the team approves non-report evidence.,Public candidate stored under tmp/incoming; treatment=supplemental_candidate_not_esg_report; filename=BOBS-2025-DRS-ESG-Framework-Risk-Disclosure.pdf.
DDS__web_or_pdf_climate_mitigation__2026_07_15,DDS,1,DILLARDS INC  -CL A,website_only_candidate,web_or_pdf_climate_mitigation_statement,supplemental,supplemental_web,false,candidate_after_manual_review,https://investor.dillards.com/static-files/879191ae-f3bb-4cba-98e5-8ed34c41a928,Report on Climate Change Mitigation Efforts,pdf_or_static_file,2026-07-15,public_source_seen_in_web_search; official_investor_domain,manual_review_before_ingestion,"Review document scope; if useful, ingest as supplemental climate/evidence source, not as a standalone ESG report.","Official Dillard investor static file. Treat as issue-specific climate mitigation evidence, not full sustainability-report coverage."
EVGO__2024_corporate_responsibility_overview__2026_07_15,EVGO,130,EVGO INC,partial_short_pdf_review,short_corporate_responsibility_pdf,topic_specific,supplemental_pdf,false,candidate_after_manual_review,https://site-assets.evgo.com/f/78437/x/09672e841f/2024-evgo-corporate-responsibility.pdf,2024 EVgo Corporate Responsibility Overview,pdf_3_pages,2026-07-15,opened_public_pdf; official_site_assets_domain; 3 pages,manual_review_before_ingestion,"Review as a specialized supplemental PDF; if ingested, label as short overview, not full sustainability report.","Public PDF is only 3 pages, so it should not satisfy standalone full-report coverage."
EVGO__sustainability_page__2026_07_15,EVGO,130,EVGO INC,partial_short_pdf_review,web_esg_page,supplemental,supplemental_web,false,candidate_after_manual_review,https://www.evgo.com/company/sustainability/,EV Sustainability | EVgo's Commitment to Sustainability,html,2026-07-15,opened_public_page; official_company_domain,manual_review_before_ingestion,Use only as supplemental web source; do not count as full ESG PDF coverage.,Sustainability page links to corporate responsibility overviews and contains sustainability claims.
FLWS__FLWS_2008_Electronics_Recycling_Environmental_Press_Release__2026_07_15_public_pdf,FLWS,85,1-800-FLOWERS.COM,supplemental_public_pdf_candidate_not_standalone,environmental_press_release,not_full_esg_report,supplemental_pdf,false,candidate_after_manual_review,https://cdn1.1800flowers.com/wcsstore/Flowers/images/banners/aboutus/secondelectronicsrecycledrive102008.pdf,Electronics recycling environmental press release,pdf,2026-07-15,already_present_pdf; sha256=07524d5cff3e88c4b2bf5575fd47f5ae1ef705a74f3e16a4b824cd23dd22d21f; bytes=38934,manual_review_before_ingestion,Keep out of the stand-alone PDF ESG corpus; review only for supplemental retrieval if the team approves non-report evidence.,Public candidate stored under tmp/incoming; treatment=weak_historical_supplemental_candidate; filename=FLWS-2008-Electronics-Recycling-Environmental-Press-Release.pdf.
GRWG__GRWG_2025_Proxy_ESG_Governance_Section__2026_07_15_public_pdf,GRWG,82,GROWGENERATION CORP,supplemental_public_pdf_candidate_not_standalone,proxy_with_esg_governance_section,supplemental,supplemental_pdf,false,candidate_after_manual_review,https://materials.proxyvote.com/Approved/39986L/20250421/NPS_605496.PDF,2025 Proxy Statement with ESG governance section,pdf,2026-07-15,already_present_pdf; sha256=89ad2f33f9017ab66d04e4ace06337d3e002e9ced849c596d4e153da493115e5; bytes=1842354,manual_review_before_ingestion,Keep out of the stand-alone PDF ESG corpus; review only for supplemental retrieval if the team approves non-report evidence.,Public candidate stored under tmp/incoming; treatment=supplemental_candidate; filename=GRWG-2025-Proxy-ESG-Governance-Section.pdf.
HZO__HZO_2021_Q1_Investor_Presentation_ESG_Overview__2026_07_15_public_pdf,HZO,84,MARINEMAX INC,supplemental_public_pdf_candidate_not_standalone,investor_presentation_with_esg_overview,supplemental,supplemental_pdf,false,candidate_after_manual_review,https://s28.q4cdn.com/795129223/files/doc_presentation/2021/01/28/First-Quarter-2021-Investor-Presentation.pdf,Q1 2021 Investor Presentation with ESG Overview,pdf,2026-07-15,already_present_pdf; sha256=9a728d6520f44edd021fc9b43b8adc576bf2a95efb96ec4d66c8ef228a9f241d; bytes=2505788,manual_review_before_ingestion,Keep out of the stand-alone PDF ESG corpus; review only for supplemental retrieval if the team approves non-report evidence.,Public candidate stored under tmp/incoming; treatment=supplemental_candidate; filename=HZO-2021-Q1-Investor-Presentation-ESG-Overview.pdf.
PETS__PETS_2022_Proxy_Sustainability_Section__2026_07_15_public_pdf,PETS,88,PETMED EXPRESS INC,supplemental_public_pdf_candidate_not_standalone,proxy_with_sustainability_section,supplemental,supplemental_pdf,false,candidate_after_manual_review,https://s204.q4cdn.com/312753843/files/doc_financials/2022/ar/PetMedExpressProxy2022.pdf,2022 Proxy Statement with sustainability strategy language,pdf,2026-07-15,already_present_pdf; sha256=b676210f7909276b1f8bac722ba86bb81c4d4dccdaed617db57e53472135c40d; bytes=7424219,manual_review_before_ingestion,Keep out of the stand-alone PDF ESG corpus; review only for supplemental retrieval if the team approves non-report evidence.,Public candidate stored under tmp/incoming; treatment=supplemental_candidate; filename=PETS-2022-Proxy-Sustainability-Section.pdf.
RENT__RENT_2021_FY_Results_Impact_Strategy__2026_07_15_public_pdf,RENT,107,RENT THE RUNWAY INC,supplemental_public_pdf_candidate_not_standalone,press_release_with_sustainability_commitment,supplemental,supplemental_pdf,false,candidate_after_manual_review,https://investors.renttherunway.com/node/7186/pdf,FY 2021 results press release with Impact Strategy,pdf,2026-07-15,downloaded_pdf; sha256=bd8f4a3ad6c438a7b25ccb547de504f47fc9ca47ad3169ab915336cf4e246073; bytes=63420,manual_review_before_ingestion,Keep out of the stand-alone PDF ESG corpus; review only for supplemental retrieval if the team approves non-report evidence.,Public candidate stored under tmp/incoming; treatment=supplemental_candidate; filename=RENT-2021-FY-Results-Impact-Strategy.pdf.
RENT__RENT_IPO_Filing_ESG_Impact_Summary__2026_07_15_public_pdf,RENT,107,RENT THE RUNWAY INC,supplemental_public_pdf_candidate_not_standalone,filing_with_esg_section,supplemental,supplemental_pdf,false,candidate_after_manual_review,https://investors.renttherunway.com/node/7071/pdf,IPO filing with ESG Impact Summary,pdf,2026-07-15,downloaded_pdf; sha256=f2949b9c191b8e61e9252b2ca9ae32bd865c44f6d59cb1cb8bef84e00d2af68e; bytes=24475,manual_review_before_ingestion,Keep out of the stand-alone PDF ESG corpus; review only for supplemental retrieval if the team approves non-report evidence.,Public candidate stored under tmp/incoming; treatment=supplemental_candidate; filename=RENT-IPO-Filing-ESG-Impact-Summary.pdf.
RH__esg_page__2026_07_15,RH,136,RH,website_only_candidate,web_esg_page,supplemental,supplemental_web,false,candidate_after_manual_review,https://ir.rh.com/corporate-governance/esg,"Environmental, Social & Governance - RH Investor Relations",html,2026-07-15,opened_public_page; official_investor_domain,manual_review_before_ingestion,Use as supplemental web ESG source only; preserve URL and source type in citations.,"Page covers corporate responsibility, environmental/sustainability, product safety, sourcing, and philanthropy."
RVLV__social_impact_overview__2026_07_15,RVLV,56,REVOLVE GROUP INC,website_only_candidate,web_esg_page,supplemental,supplemental_web,false,candidate_after_manual_review,https://investors.revolve.com/Social-Impact/Overview/default.aspx,Social Impact - Overview - REVOLVE Investor Relations,html,2026-07-15,opened_public_page; official_investor_domain,manual_review_before_ingestion,Use as supplemental web ESG source only; preserve URL and source type in citations.,"Page covers sustainability, diversity and inclusion, supply chain, and community pillars."
