model_id,question_id,rank,chunk_id,score
source_only_original_control,10K-V2-I1-001,1,238865,0.3966173231601715
source_only_original_control,10K-V2-I1-001,2,238871,0.18242144584655762
source_only_original_control,10K-V2-I1-001,3,238866,-0.712171733379364
source_only_original_control,10K-V2-I1-001,4,238872,-0.7237442135810852
source_only_original_control,10K-V2-I1-001,5,238868,-1.4159590005874634
source_only_original_control,10K-V2-I1-002,1,293893,3.9941415786743164
source_only_original_control,10K-V2-I1-002,2,293896,2.7659456729888916
source_only_original_control,10K-V2-I1-002,3,293891,0.057861700654029846
source_only_original_control,10K-V2-I1-002,4,293890,-1.7413558959960938
source_only_original_control,10K-V2-I1-002,5,293899,-1.9779036045074463
source_only_original_control,10K-V2-I1-003,1,244048,3.875922203063965
source_only_original_control,10K-V2-I1-003,2,244052,3.2257351875305176
source_only_original_control,10K-V2-I1-003,3,244059,1.6489901542663574
source_only_original_control,10K-V2-I1-003,4,244049,1.1814954280853271
source_only_original_control,10K-V2-I1-003,5,244054,0.048376183956861496
source_only_original_control,10K-V2-I1-004,1,314145,3.80668568611145
source_only_original_control,10K-V2-I1-004,2,314146,-2.332684278488159
source_only_original_control,10K-V2-I1-004,3,314150,-4.042809009552002
source_only_original_control,10K-V2-I1-004,4,314149,-5.361433982849121
source_only_original_control,10K-V2-I1-004,5,314151,-6.037521839141846
source_only_original_control,10K-V2-I1A-001,1,246160,-0.5305700302124023
source_only_original_control,10K-V2-I1A-001,2,246186,-1.2817833423614502
source_only_original_control,10K-V2-I1A-001,3,246212,-2.762208938598633
source_only_original_control,10K-V2-I1A-001,4,246219,-2.897493839263916
source_only_original_control,10K-V2-I1A-001,5,246227,-3.306033134460449
source_only_original_control,10K-V2-I1A-002,1,271318,-0.8788379430770874
source_only_original_control,10K-V2-I1A-002,2,271324,-1.899464726448059
source_only_original_control,10K-V2-I1A-002,3,271327,-2.1708736419677734
source_only_original_control,10K-V2-I1A-002,4,271326,-4.128803730010986
source_only_original_control,10K-V2-I1A-002,5,271333,-4.376282691955566
source_only_original_control,10K-V2-I1A-003,1,313356,1.5663485527038574
source_only_original_control,10K-V2-I1A-003,2,313344,0.8442802429199219
source_only_original_control,10K-V2-I1A-003,3,313355,-0.6785183548927307
source_only_original_control,10K-V2-I1A-003,4,313354,-0.9564262628555298
source_only_original_control,10K-V2-I1A-003,5,313343,-1.0366945266723633
source_only_original_control,10K-V2-I1A-004,1,255426,2.919215202331543
source_only_original_control,10K-V2-I1A-004,2,255423,2.407350778579712
source_only_original_control,10K-V2-I1A-004,3,255421,1.649924635887146
source_only_original_control,10K-V2-I1A-004,4,255415,1.645632028579712
source_only_original_control,10K-V2-I1A-004,5,255434,1.2489781379699707
source_only_original_control,10K-V2-I7-001,1,256271,0.9251800775527954
source_only_original_control,10K-V2-I7-001,2,256266,-0.5845149159431458
source_only_original_control,10K-V2-I7-001,3,256265,-1.0604597330093384
source_only_original_control,10K-V2-I7-001,4,256278,-1.69930899143219
source_only_original_control,10K-V2-I7-001,5,256282,-1.7948449850082397
source_only_original_control,10K-V2-I7-002,1,323318,1.6171952486038208
source_only_original_control,10K-V2-I7-002,2,323324,-1.979702353477478
source_only_original_control,10K-V2-I7-002,3,323320,-2.449077844619751
source_only_original_control,10K-V2-I7-002,4,323337,-3.160127639770508
source_only_original_control,10K-V2-I7-002,5,323316,-3.398200035095215
source_only_original_control,10K-V2-I7-003,1,302855,-2.2681500911712646
source_only_original_control,10K-V2-I7-003,2,302873,-2.9059090614318848
source_only_original_control,10K-V2-I7-003,3,302874,-3.976391315460205
source_only_original_control,10K-V2-I7-003,4,302853,-4.795847415924072
source_only_original_control,10K-V2-I7-003,5,302869,-5.425568103790283
source_only_original_control,10K-V2-I7-004,1,340534,-3.0979647636413574
source_only_original_control,10K-V2-I7-004,2,340536,-3.779613733291626
source_only_original_control,10K-V2-I7-004,3,340529,-4.175324440002441
source_only_original_control,10K-V2-I7-004,4,340535,-4.663224220275879
source_only_original_control,10K-V2-I7-004,5,340530,-5.350386619567871
source_only_original_control,10K-V2-I8-001,1,281164,0.658237099647522
source_only_original_control,10K-V2-I8-001,2,281170,0.11021322011947632
source_only_original_control,10K-V2-I8-001,3,281171,-2.1581871509552
source_only_original_control,10K-V2-I8-001,4,281163,-2.8233349323272705
source_only_original_control,10K-V2-I8-001,5,281167,-2.8253612518310547
source_only_original_control,10K-V2-I8-002,1,293640,-0.8651106953620911
source_only_original_control,10K-V2-I8-002,2,293655,-1.097728967666626
source_only_original_control,10K-V2-I8-002,3,293641,-2.233677625656128
source_only_original_control,10K-V2-I8-002,4,293644,-2.2362897396087646
source_only_original_control,10K-V2-I8-002,5,293684,-2.65659236907959
source_only_original_control,10K-V2-I8-003,1,233516,1.469846248626709
source_only_original_control,10K-V2-I8-003,2,233527,0.6116570234298706
source_only_original_control,10K-V2-I8-003,3,233515,-0.5559403896331787
source_only_original_control,10K-V2-I8-003,4,233602,-1.9941967725753784
source_only_original_control,10K-V2-I8-003,5,233513,-2.8309249877929688
source_only_original_control,10K-V2-I8-004,1,290535,0.9077140688896179
source_only_original_control,10K-V2-I8-004,2,290530,-2.5534424781799316
source_only_original_control,10K-V2-I8-004,3,290502,-2.6905815601348877
source_only_original_control,10K-V2-I8-004,4,290500,-2.925506591796875
source_only_original_control,10K-V2-I8-004,5,290492,-2.9725468158721924
source_only_original_control,10K-V2-XC-001,1,264515,-1.2146637439727783
source_only_original_control,10K-V2-XC-001,2,286848,-1.0086134672164917
source_only_original_control,10K-V2-XC-001,3,264516,-2.4577953815460205
source_only_original_control,10K-V2-XC-001,4,286847,-2.6637537479400635
source_only_original_control,10K-V2-XC-001,5,264514,-3.0453057289123535
source_only_original_control,10K-V2-XC-002,1,291507,-1.952242136001587
source_only_original_control,10K-V2-XC-002,2,326182,-4.146587371826172
source_only_original_control,10K-V2-XC-002,3,291502,-4.189550876617432
source_only_original_control,10K-V2-XC-002,4,326178,-4.189937591552734
source_only_original_control,10K-V2-XC-002,5,291517,-4.438939571380615
source_only_original_control,10K-V2-XC-003,1,313088,-6.406546592712402
source_only_original_control,10K-V2-XC-003,2,245430,-2.949284315109253
source_only_original_control,10K-V2-XC-003,3,313089,-7.530029296875
source_only_original_control,10K-V2-XC-003,4,245468,-2.9513039588928223
source_only_original_control,10K-V2-XC-003,5,313086,-7.894084930419922
source_only_original_control,10K-V2-XC-004,1,280029,-1.6250410079956055
source_only_original_control,10K-V2-XC-004,2,239593,-1.3351380825042725
source_only_original_control,10K-V2-XC-004,3,280028,-2.8927462100982666
source_only_original_control,10K-V2-XC-004,4,239612,-1.9858109951019287
source_only_original_control,10K-V2-XC-004,5,280030,-4.3324480056762695
source_only_original_control,10K-V2-TC-001,1,304857,3.3897340297698975
source_only_original_control,10K-V2-TC-001,2,304832,1.4904195070266724
source_only_original_control,10K-V2-TC-001,3,304833,1.4839122295379639
source_only_original_control,10K-V2-TC-001,4,304853,0.31125253438949585
source_only_original_control,10K-V2-TC-001,5,304854,0.2597001791000366
source_only_original_control,10K-V2-TC-002,1,332966,5.9450531005859375
source_only_original_control,10K-V2-TC-002,2,332972,5.711421966552734
source_only_original_control,10K-V2-TC-002,3,332967,5.317207336425781
source_only_original_control,10K-V2-TC-002,4,332961,4.819993495941162
source_only_original_control,10K-V2-TC-002,5,332960,3.5843305587768555
source_only_original_control,10K-V2-TC-003,1,266360,0.4133443236351013
source_only_original_control,10K-V2-TC-003,2,266791,-0.29811394214630127
source_only_original_control,10K-V2-TC-003,3,266357,-2.036383628845215
source_only_original_control,10K-V2-TC-003,4,266790,-1.6205660104751587
source_only_original_control,10K-V2-TC-003,5,266356,-2.2876272201538086
source_only_original_control,10K-V2-TC-004,1,339365,2.6409554481506348
source_only_original_control,10K-V2-TC-004,2,339784,2.8933968544006348
source_only_original_control,10K-V2-TC-004,3,339321,2.185427188873291
source_only_original_control,10K-V2-TC-004,4,339748,2.339078426361084
source_only_original_control,10K-V2-TC-004,5,339335,2.0102663040161133
