question_id,route_index,ticker,filing_year,section_code,gold_chunk_id,declared_gold_chunk_index,candidate_count,semantic_rank,semantic_top20,cross_encoder_rank_if_top20,lexical_rank,hybrid_rrf_rank,supporting_passage_byte_exact_contained,supporting_passage_normalized_contained,primary_machine_classification,decomposition_assessment,boundary_assessment,top5_neighbor_answer_overlap_assessment
10K-V2-I7-002,1,SNBR,2025,Item_7,323323,8,24,5,True,11,,5,False,True,reranking_failure,REQUIRES_REVIEW,REQUIRES_REVIEW,REQUIRES_REVIEW
10K-V2-I7-004,1,WSM,2026,Item_7,340545,16,17,5,True,7,,5,True,True,reranking_failure,REQUIRES_REVIEW,REQUIRES_REVIEW,REQUIRES_REVIEW
10K-V2-I8-002,1,LOW,2025,Item_8,293685,52,57,8,True,7,,10,False,True,reranking_failure,REQUIRES_REVIEW,REQUIRES_REVIEW,REQUIRES_REVIEW
10K-V2-I8-003,1,ABG,2026,Item_8,233561,48,94,14,True,17,,14,True,True,reranking_failure,REQUIRES_REVIEW,REQUIRES_REVIEW,REQUIRES_REVIEW
10K-V2-XC-002,1,LE,2024,Item_1A,291510,9,20,3,True,7,1,1,False,True,reranking_failure,REQUIRES_REVIEW,REQUIRES_REVIEW,REQUIRES_REVIEW
10K-V2-XC-002,2,TGT,2024,Item_1A,326177,6,14,3,True,4,1,1,False,True,aggregation_or_multi_gold_coverage_failure,REQUIRES_REVIEW,REQUIRES_REVIEW,REQUIRES_REVIEW
10K-V2-TC-003,1,EBAY,2024,Item_1A,266329,4,40,18,True,19,,18,True,True,reranking_failure,REQUIRES_REVIEW,REQUIRES_REVIEW,REQUIRES_REVIEW
10K-V2-TC-003,2,EBAY,2026,Item_1A,266793,14,42,28,False,,,28,False,True,candidate_generation_failure,REQUIRES_REVIEW,REQUIRES_REVIEW,REQUIRES_REVIEW
10K-V2-TC-004,1,WOOF,2024,Item_8,339328,7,57,37,False,,,37,False,True,candidate_generation_failure,REQUIRES_REVIEW,REQUIRES_REVIEW,REQUIRES_REVIEW
10K-V2-TC-004,2,WOOF,2026,Item_8,339761,17,55,23,False,,,23,False,True,candidate_generation_failure,REQUIRES_REVIEW,REQUIRES_REVIEW,REQUIRES_REVIEW
