model_id,question_id,rank,chunk_id,score
bge_base_en_v1_5,10K-V2-I1-001,1,238865,0.3966173231601715
bge_base_en_v1_5,10K-V2-I1-001,2,238871,0.18242144584655762
bge_base_en_v1_5,10K-V2-I1-001,3,238866,-0.712171733379364
bge_base_en_v1_5,10K-V2-I1-001,4,238872,-0.7237442135810852
bge_base_en_v1_5,10K-V2-I1-001,5,238868,-1.4159590005874634
bge_base_en_v1_5,10K-V2-I1-002,1,293893,3.9941415786743164
bge_base_en_v1_5,10K-V2-I1-002,2,293896,2.7659456729888916
bge_base_en_v1_5,10K-V2-I1-002,3,293891,0.057861700654029846
bge_base_en_v1_5,10K-V2-I1-002,4,293890,-1.7413558959960938
bge_base_en_v1_5,10K-V2-I1-002,5,293899,-1.9779036045074463
bge_base_en_v1_5,10K-V2-I1-003,1,244048,3.875922203063965
bge_base_en_v1_5,10K-V2-I1-003,2,244052,3.2257351875305176
bge_base_en_v1_5,10K-V2-I1-003,3,244059,1.6489901542663574
bge_base_en_v1_5,10K-V2-I1-003,4,244049,1.1814954280853271
bge_base_en_v1_5,10K-V2-I1-003,5,244054,0.048376183956861496
bge_base_en_v1_5,10K-V2-I1-004,1,314145,3.80668568611145
bge_base_en_v1_5,10K-V2-I1-004,2,314146,-2.332684278488159
bge_base_en_v1_5,10K-V2-I1-004,3,314150,-4.042809009552002
bge_base_en_v1_5,10K-V2-I1-004,4,314149,-5.361433982849121
bge_base_en_v1_5,10K-V2-I1-004,5,314151,-6.037521839141846
bge_base_en_v1_5,10K-V2-I1A-001,1,246160,-0.5305700302124023
bge_base_en_v1_5,10K-V2-I1A-001,2,246186,-1.2817833423614502
bge_base_en_v1_5,10K-V2-I1A-001,3,246212,-2.762208938598633
bge_base_en_v1_5,10K-V2-I1A-001,4,246219,-2.897493839263916
bge_base_en_v1_5,10K-V2-I1A-001,5,246227,-3.306033134460449
bge_base_en_v1_5,10K-V2-I1A-002,1,271318,-0.8788379430770874
bge_base_en_v1_5,10K-V2-I1A-002,2,271324,-1.899464726448059
bge_base_en_v1_5,10K-V2-I1A-002,3,271327,-2.1708736419677734
bge_base_en_v1_5,10K-V2-I1A-002,4,271326,-4.128803730010986
bge_base_en_v1_5,10K-V2-I1A-002,5,271333,-4.376282691955566
bge_base_en_v1_5,10K-V2-I1A-003,1,313356,1.5663485527038574
bge_base_en_v1_5,10K-V2-I1A-003,2,313344,0.8442802429199219
bge_base_en_v1_5,10K-V2-I1A-003,3,313355,-0.6785183548927307
bge_base_en_v1_5,10K-V2-I1A-003,4,313354,-0.9564262628555298
bge_base_en_v1_5,10K-V2-I1A-003,5,313343,-1.0366945266723633
bge_base_en_v1_5,10K-V2-I1A-004,1,255426,2.919215202331543
bge_base_en_v1_5,10K-V2-I1A-004,2,255423,2.407350778579712
bge_base_en_v1_5,10K-V2-I1A-004,3,255421,1.649924635887146
bge_base_en_v1_5,10K-V2-I1A-004,4,255415,1.645632028579712
bge_base_en_v1_5,10K-V2-I1A-004,5,255434,1.2489781379699707
bge_base_en_v1_5,10K-V2-I7-001,1,256271,0.9251800775527954
bge_base_en_v1_5,10K-V2-I7-001,2,256266,-0.5845149159431458
bge_base_en_v1_5,10K-V2-I7-001,3,256265,-1.0604597330093384
bge_base_en_v1_5,10K-V2-I7-001,4,256278,-1.69930899143219
bge_base_en_v1_5,10K-V2-I7-001,5,256282,-1.7948449850082397
