source_id,observed_ticker,canonical_ticker,pdf_stem,source_type,source_scope,retrieval_tier,include_in_esg_index,duplicate_of_source_id,notes
APC__2021__misfiled_arko_duplicate__01,APC,ARKO,APC-ARKO PETROLEUM CORP-2021,sustainability,full_report,excluded,false,ARKO__2021__sustainability_report__01,Misfiled byte-identical ARKO report; preserve intake history but do not index twice.
APC__2022__misfiled_arko_duplicate__01,APC,ARKO,APC-ARKO PETROLEUM CORP-2022,sustainability,full_report,excluded,false,ARKO__2022__sustainability_report__01,Misfiled byte-identical ARKO report; preserve intake history but do not index twice.
APC__2023__misfiled_arko_duplicate__01,APC,ARKO,APC-ARKO PETROLEUM CORP-2023,sustainability,full_report,excluded,false,ARKO__2023__sustainability_report__01,Misfiled byte-identical ARKO report; preserve intake history but do not index twice.
APC__2024__misfiled_arko_duplicate__01,APC,ARKO,APC-ARKO PETROLEUM CORP-2024,sustainability,full_report,excluded,false,ARKO__2024__sustainability_report__01,Misfiled byte-identical ARKO report; preserve intake history but do not index twice.
ARKO__2021__sustainability_report__01,ARKO,ARKO,ARKO-ARKO CORP-2021,sustainability,full_report,primary,true,,Canonical ARKO Corp. report.
ARKO__2022__sustainability_report__01,ARKO,ARKO,ARKO-ARKO CORP-2022,sustainability,full_report,primary,true,,Canonical ARKO Corp. report.
ARKO__2023__sustainability_report__01,ARKO,ARKO,ARKO-ARKO CORP-2023,sustainability,full_report,primary,true,,Canonical ARKO Corp. report.
ARKO__2024__sustainability_report__01,ARKO,ARKO,ARKO-ARKO CORP-2024,sustainability,full_report,primary,true,,Canonical ARKO Corp. report.
BBBY__2021__esg_report__01,BBBY,BBBY,BBBY-BED BATH & BEYOND INC-2021,sustainability,full_report,primary,true,,Primary 2021 ESG report downloaded from Drive on 2026-07-15.
ETSY__2021__sustainability_report__01,ETSY,ETSY,ETSY-Etsy-2021,sustainability,full_report,primary,true,,Explicit primary sustainability report row approved in source-governance integration; Drive ID 1Aemw18XrXUMy1_o7Kprs0cc5JBghuYKe; local SHA256 4d4c1b9ca5c8102ba97cefc89652725da6e733d8adea73e21f488c0906649542.
ETSY__2024__annual_report_with_esg__01,ETSY,ETSY,ETSY-ETSY INC-2024,annual_report_with_esg,excerpt,supplementary,true,,Allowed ESG disclosure excerpt from the annual report; show source type in citations.
NGVC__2021__sustainability_report__01,NGVC,NGVC,NGVC-NATURAL GROCERS VITAMIN CTGE-2021,sustainability,full_report,primary,true,,Primary sustainability report; official raw PDF remains canonical source and OCR staging derivative is governed parse source SHA256 779228818f79bfd984f80f95bd20ce4e5f64694dd45b44121b2b02ce09cb2771.
NGVC__2022__sustainability_report__01,NGVC,NGVC,NGVC-NATURAL GROCERS VITAMIN CTGE-2022,sustainability,full_report,primary,true,,Primary sustainability report; official raw PDF remains canonical source and OCR staging derivative is governed parse source SHA256 f4f12524dc7f384be57e23bc8c1fda1c1b84814f5575603c6762c95a9caf3fdd.
PAG__2021__esg_report_archive__01,PAG,PAG,PAG-PENSKE AUTOMOTIVE GROUP INC-2021,sustainability,full_report,primary,true,,Promoted stand-alone 2021 ESG report archive downloaded from ResponsibilityReports on 2026-07-15; official 2024 PAG report exists but direct command-line download was blocked by Cloudflare.
PAG__2022__esg_report_archive__01,PAG,PAG,PAG-PENSKE AUTOMOTIVE GROUP INC-2022,sustainability,full_report,primary,true,,Promoted stand-alone 2022 ESG report archive downloaded from ResponsibilityReports on 2026-07-15; official 2024 PAG report exists but direct command-line download was blocked by Cloudflare.
PAG__2023__esg_report_archive__01,PAG,PAG,PAG-PENSKE AUTOMOTIVE GROUP INC-2023,sustainability,full_report,primary,true,,Promoted stand-alone 2023 ESG report archive downloaded from ResponsibilityReports on 2026-07-15; official 2024 PAG report exists but direct command-line download was blocked by Cloudflare.
SHOO__2021__sustainability_report__01,SHOO,SHOO,SHOO-MADDEN STEVEN LTD-2021,sustainability,full_report,primary,true,,OCR repair approved; official raw PDF remains canonical source and OCR staging derivative is governed parse source SHA256 279bd938d432944ea8a681d350e5087e0ae7095143007a9831f37c617231d16c.
VSXY__2026__program_impact_report__01,VSXY,VSXY,VSXY-Victorias Secret-2026,program_impact_report,topic_specific,specialized,false,,Women’s cancers fund impact report; retain as evidence but exclude from the company-wide ESG index.
ETSY__2025__climate_index_report__01,ETSY,ETSY,ETSY-Etsy-2025(Climate Index),climate_index_report,topic_specific,supplementary,true,,Standalone climate index disclosure; byte-identical to Drive Other Sustainability Related Reports/ETSY/ETSY-ETSY INC-2025-CLIMATE.pdf; reclassified from implicit primary 2026-07-20; show source type in citations.
ETSY__2025__pay_gap_report__01,ETSY,ETSY,ETSY-ETSY INC-2025-PAYGAP,pay_gap_report,topic_specific,supplementary,true,,Standalone pay gap report ingested 2026-07-20 from Drive Other Sustainability Related Reports into data/01_raw/sustainability_other; show source type in citations.
SFM__2025__progress_report__01,SFM,SFM,SFM-SPROUTS FARMERS MARKET-2025,progress_report,topic_specific,supplementary,true,,2025 progress report not a full sustainability report; byte-identical to Drive Other Sustainability Related Reports/SFM/SFM-SPROUTS FARMERS MARKET-2025-PROOGRESSREPORT.pdf; reclassified from implicit primary 2026-07-20; show source type in citations.
SFM__2025__sasb_index__01,SFM,SFM,SFM-SPROUTS FARMERS MARKET-2025-SASBINDEX,sasb_index,topic_specific,supplementary,true,,Standalone SASB disclosure index ingested 2026-07-20 from Drive Other Sustainability Related Reports into data/01_raw/sustainability_other; show source type in citations.
GCO__2023__sustainability_report__01,GCO,GCO,GCO-GENESCO INC-2023,sustainability,full_report,supplementary,true,,Ingested 2026-07-20 from Drive Other Sustainability Related Reports/GCO into data/01_raw/sustainability_other; team moved it out of the main corpus 2026-07-20 for an unstated reason; supplementary pending team confirmation; promote to primary once confirmed.
TDUP__2026__resale_report__01,TDUP,TDUP,TDUP-THREDUP INC-2026-RESALE,resale_report,topic_specific,supplementary,true,,Standalone resale report ingested 2026-07-20 from Drive Other Sustainability Related Reports into data/01_raw/sustainability_other; show source type in citations.
ETSY__2025__climate_index_report__02,ETSY,ETSY,ETSY-ETSY INC-2025-CLIMATE,climate_index_report,topic_specific,excluded,false,ETSY__2025__climate_index_report__01,Byte-identical Drive-named copy of ETSY-Etsy-2025(Climate Index) mirrored into data/01_raw/sustainability_other; preserve intake history but do not index twice; canonical flips to this stem if the year-shift reconciliation renames the main-root copy.
SFM__2025__progress_report__02,SFM,SFM,SFM-SPROUTS FARMERS MARKET-2025-PROOGRESSREPORT,progress_report,topic_specific,excluded,false,SFM__2025__progress_report__01,Byte-identical Drive-named copy of SFM-SPROUTS FARMERS MARKET-2025 mirrored into data/01_raw/sustainability_other; preserve intake history but do not index twice; canonical flips to this stem if the year-shift reconciliation renames the main-root copy.
